Equation: Relationship between linear velocity $v$ and angular velocity $\omega$ for a point at radius $r$.,$v = r\omega$
What is the formula for centripetal acceleration $a_c$ in terms of tangential velocity $v$ and radius $r$?,$a_c = \frac{v^2}{r}$
Equation: Centripetal acceleration $a_c$ expressed in terms of angular velocity $\omega$.,$a_c = r\omega^2$
"In rotational motion, the tangential acceleration $a_{tan}$ is related to angular acceleration $\alpha$ by the formula _____.",$a_{tan} = r\alpha$
"If a rotating object is slowing down, in which direction does the decelerating force vector point relative to the velocity vector?",Opposite to the velocity.
"For an object moving in a circle, which force component always points towards the centre of rotation?",Centripetal force.
How is the frequency $f$ related to the angular velocity $\omega$?,$\omega = 2\pi f$
"In a vertical circular motion problem, such as Tarzan swinging on a vine, what type of acceleration does he experience at the bottom of the swing?",Centripetal acceleration pointing upwards.
Term: Moment of Inertia ($I$),Definition: A measure of an object's resistance to changes in its rotational motion.
Why does concentrating muscle mass high and close to the body help a runner rotate their legs faster?,"It minimises the moment of inertia, allowing for higher angular acceleration."
How does the distribution of mass relative to the axis of rotation affect the moment of inertia?,Mass further from the axis increases the moment of inertia.
"For a book laying on a table, which axis of rotation results in the smallest moment of inertia?",The axis parallel to the longest dimension of the book.
Explain why an object's mass cannot be considered concentrated at its centre of mass (CM) when analysing rotational motion.,"If mass were at the CM, the rotational inertia would be zero, making rotation impossible to describe."
How does shifting the axis of rotation from the centre of a disk to its edge change the moment of inertia?,It increases the moment of inertia because most mass is now further from the axis.
The rotational inertia of a solid ball rotating about an axis through its centre is given by _____.,$I = \frac{2}{5}MR^2$
Equation: Conservation of mechanical energy for a rolling object without slipping at height $h$.,$Mgh = \frac{1}{2}Mv^2 + \frac{1}{2}I\omega^2$
"When using conservation of energy for objects rolling down a ramp, why do the mass and radius usually cancel out in the final speed equation?",Because both the moment of inertia and kinetic energy terms are proportional to mass and the square of the radius.
Under what condition are linear momentum and angular momentum conserved in a system?,When there are no external forces or external torques applied to the system.
Why must a diver have initial angular momentum when leaving a board to perform a somersault?,"Angular momentum is conserved during free-fall, and the diver cannot exert a torque on themselves mid-air."
"According to Newton's Third Law, what happens to a helicopter's body if the rotor's angular speed increases?",The body tends to spin in the opposite direction to the change in the rotor's angular velocity.
"If two balls are given the same initial energy, why does a rotating ball travel slower linearly than a non-rotating one?","Some of the energy is used for rotational kinetic energy, leaving less for translational kinetic energy."
"Between a thin hoop and a solid sphere of the same mass and radius, which will reach a greater height on a ramp if they have the same initial total kinetic energy?","The thin hoop, because it has a larger moment of inertia."
"If people move toward the Earth's equator, why does the Earth's angular speed decrease?","Mass moves further from the axis, increasing $I$, so $\omega$ must decrease to conserve angular momentum."
What happens to your angular speed if you are spinning on a stool and drop masses held in your hands?,Your angular speed remains unchanged as the masses carry their angular momentum away.
"In one full revolution, how far forward does a wheel of radius $r$ move?",$2\pi r$ (the circumference).
What is the period of the second hand of a clock?,60 seconds.
What is the period of the hour hand of a standard analogue clock?,12 hours.
