Why is sound classified as a mechanical wave rather than an electromagnetic wave?,"Sound requires a physical medium (gas, liquid, or solid) to propagate, whereas electromagnetic waves can travel through a vacuum."
List three physical phenomena that provide evidence that sound is a wave.,"Interference (such as beats), diffraction (hearing around corners), and refraction."
What is the relationship between the number of octaves ($n$) and the change in frequency?,"Each octave represents a doubling of the frequency, expressed as $f_{final} = f_{initial} \times 2^n$."
"Approximately how many octaves are contained within the human hearing range of $20 \text{ Hz}$ to $20,000 \text{ Hz}$?",Approximately $10$ octaves.
"If the intensity of a sound wave increases by a factor of $100$, by what factor does the displacement amplitude increase?","It increases by a factor of $10$, as intensity is proportional to the square of the amplitude ($I \propto A^2$)."
"In medical ultrasound, how many Doppler shifts occur when measuring the velocity of blood cells?","Two shifts: one when the moving cells receive the signal from the stationary source, and another when the detector receives the reflected signal from the moving cells."
"What defines the beat frequency produced by two slightly different sound frequencies, $f_1$ and $f_2$?","The absolute difference between the two frequencies, $|f_1 - f_2|$."
How does an increase in air temperature affect the fundamental frequency of an organ pipe?,It increases the frequency because the speed of sound in air increases with temperature.
What is the formula for the fundamental frequency ($f_1$) of a tube closed at one end?,"$f_1 = \frac{v}{4L}$, where $v$ is the speed of sound and $L$ is the length of the tube."
"If two violin strings have the same length and tension but different masses, what determines the difference in their fundamental frequencies?",The difference in wave speed caused by the different mass per unit length (linear density) of the strings.
"According to electromagnetic theory, what is the geometric relationship between the electric field, the magnetic field, and the direction of wave travel?",All three are mutually perpendicular to each other.
How does the velocity of X-rays in a vacuum compare to the velocity of radio waves in a vacuum?,They are identical; all electromagnetic waves travel at the speed of light ($c$) in a vacuum.
"Can a human hear an electromagnetic wave with a frequency of $1,000 \text{ Hz}$?","No, the auditory system is excited by pressure waves (mechanical), not electromagnetic waves."
What is the standard value for the speed of light in a vacuum ($c$)?,$3.00 \times 10^8 \text{ m/s}$.
"In a vacuum, what is the formula relating the speed of light ($c$), frequency ($f$), and wavelength ($\lambda$)?",$c = f\lambda$.
Which wave property provides evidence that light is a transverse wave rather than a longitudinal wave?,Polarisation.
"When white light passes through a prism, why does violet light bend more than red light?",Violet light has a shorter wavelength and a slightly higher index of refraction in glass than red light.
