How does the frequency of a simple periodic wave relate to the frequency of its source?,The wave frequency is always equal to the frequency of the source.
Why does a wave throughout a medium maintain the same frequency as the source?,"Adjacent parts of the medium exert forces on each other while staying in contact, maintaining the oscillation rate."
Which type of mechanical wave can travel through both solids and liquids?,Longitudinal waves.
"The detection of longitudinal waves, but not transverse waves, opposite an earthquake's epicentre suggests what about the Earth's interior?","It contains a liquid layer, as transverse waves cannot travel through liquids."
What is the 'superposition principle' regarding two waves meeting on a cord?,The total displacement at any point is the sum of the displacements of each individual wave.
"Under the superposition principle, how do waves behave after they pass through each other?",They continue unaffected in their original patterns and directions.
What factors determine the speed of a wave on a stretched cord?,The tension in the cord and the mass per unit length of the cord.
Formula: Wave speed ($v$) on a cord with tension ($F_T$) and mass per unit length ($\mu$),$v = \sqrt{\frac{F_T}{\mu}}$
How does stretching a cord affect the speed of a wave traveling along it?,It increases the speed by increasing tension and decreasing mass per unit length.
"In a standing wave, what is the term for a point on the medium that experiences no motion?",Node.
"What phase shift, in degrees, corresponds to a displacement of half a wavelength ($\lambda/2$)?",$180^\circ$
Why is sound classified as a mechanical wave rather than an electromagnetic wave?,"It is a pressure wave that requires a physical medium (solid, liquid, or gas) to travel."
What evidence supports the claim that sound is a form of energy?,"Sound can do work, such as vibrating an eardrum or shattering glass."
"In a vacuum, how do the velocities of X-rays and radio waves compare?","They both travel at the same constant speed, the speed of light ($c$)."
"Formula: The relationship between speed of light ($c$), wavelength ($\lambda$), and frequency ($f$)",$c = \lambda f$
How do the electric and magnetic fields in an electromagnetic wave relate to the direction of travel?,Both fields are perpendicular to each other and perpendicular to the direction of wave travel.
Formula: Ratio of the electric field ($E$) to the magnetic field ($B$) in an EM wave,$\frac{E}{B} = c$
How does the intensity ($I$) of an electromagnetic wave relate to the amplitude of its electric field ($E_0$)?,Intensity is proportional to the square of the amplitude ($I \propto E_0^2$).
Which end of the visible light spectrum has the higher frequency: red or violet?,Violet light.
What is the approximate wavelength range of visible light?,$4 \times 10^{-7} \text{ m}$ to $7 \times 10^{-7} \text{ m}$
Why can electromagnetic waves travel through a perfect vacuum?,They do not require a medium because energy is carried in oscillating electric and magnetic fields.
"In medical imaging, why are X-ray images described as 'shadows'?","The rays travel in straight lines from a point source and are absorbed by dense objects, creating a 1:1 size ratio image."
"According to the de Broglie hypothesis, what is the formula for the wavelength ($\lambda$) of a particle with momentum ($p$)?",$\lambda = \frac{h}{p}$
How does a matter wave ($\%Psi$) differ from an electromagnetic wave regarding polarisation?,"A matter wave is a scalar and cannot be polarised, whereas an EM wave is a vector field and can be polarised."
Why is Bohr's theory of precise circular electron orbits inconsistent with modern quantum mechanics?,The Uncertainty Principle prevents knowing both the position and momentum of an electron precisely.
What is the significance of the square of the wave function ($\Psi^2$) in quantum mechanics?,It describes the probability of finding a particle within a specific spatial range.
"In the 'DIKW' paradigm used by health professionals, what do the letters stand for?","Data, Information, Knowledge, and Wisdom."
How is 'teleradiology' defined in the context of e-medicine?,The digitisation and electronic storage of X-rays or scans for remote sharing among health providers.
What distinguishes 'e-medicine' tools from simple videoconferencing systems?,"The use of peripheral devices like electronic stethoscopes, digital microscopes, or close-up cameras for examinations."
What is 'mobile medicine' as defined in e-health care systems?,The use of Bluetooth-enabled wireless sensors on a patient's body to transmit data to a central nursing system.
"In healthcare informatics, what is an example of 'audio data'?","Monitor alerts, heart sounds, or recorded voice messages."
