What is the standard SI unit for length?,The metre ($m$).
What is the standard SI unit for time?,The second ($s$).
What is the standard SI unit for mass?,The kilogram ($kg$).
What does the term 'significant figures' indicate in a measurement?,The number of reliably known digits in a value.
"When multiplying or dividing measurements, how many significant figures should the result have?",The same number as the measurement with the fewest significant figures.
"When adding or subtracting measurements, how is the precision of the result determined?",It is limited by the measurement with the fewest decimal places.
What is the percentage uncertainty of a measurement of $1.57 \pm 0.05$ m?,Approximately $3.2\%$ ($0.05 / 1.57 \times 100$).
What is the definition of 'displacement' in one-dimensional kinematics?,"The change in position of an object, calculated as $\Delta x = x_{final} - x_{initial}$."
How does displacement differ from distance travelled?,"Displacement is a vector quantity (net change), while distance is a scalar quantity (total path length)."
Formula: Average velocity,$\bar{v} = \frac{\Delta x}{\Delta t}$
Formula: Average speed,Average speed $= \frac{distance\ travelled}{time\ elapsed}$
What physical quantity is represented by the slope of a position-time ($x$ vs $t$) graph?,Instantaneous velocity.
Under what condition are average velocity and instantaneous velocity equal?,When an object moves with a constant velocity.
What is the definition of 'acceleration'?,"The rate of change of velocity over time, $\bar{a} = \frac{\Delta v}{\Delta t}$."
What physical quantity is represented by the slope of a velocity-time ($v$ vs $t$) graph?,Instantaneous acceleration.
"If an object's velocity and acceleration have opposite signs, what is happening to its speed?",The object is slowing down (decelerating).
"Kinematic equation for final velocity ($v$) given initial velocity ($v_0$), constant acceleration ($a$), and time ($t$):",$v = v_0 + at$
"Kinematic equation for position ($x$) given initial position ($x_0$), initial velocity ($v_0$), constant acceleration ($a$), and time ($t$):",$x = x_0 + v_0t + \frac{1}{2}at^2$
"Kinematic equation for final velocity ($v$) given initial velocity ($v_0$), constant acceleration ($a$), and displacement ($\Delta x$):",$v^2 = v_0^2 + 2a\Delta x$
"Kinematic equation for displacement ($\Delta x$) using only initial velocity ($v_0$), final velocity ($v$), and time ($t$):",$\Delta x = \frac{v + v_0}{2}t$
What is the approximate value of acceleration due to gravity ($g$) near the Earth's surface?,$9.80\ m/s^2$
"In the absence of air resistance, what determines the acceleration of a falling object?","Gravity alone, making it independent of the object's mass."
What is the velocity of an object thrown vertically upwards when it reaches its maximum height?,$0\ m/s$
