"According to Newton’s first law, what property of matter causes a child sitting in a wagon to seem to fall backwards when the wagon is pulled sharply forward?",Inertia.
"When a wagon is pulled forward, the child inside moves forward because of the _____ force between the child and the wagon's surface.",frictional
"On Mars, where the acceleration due to gravity is $3.7\ m/s^{2}$, what is the weight of a $68\ kg$ person?",$250\ N$.
What is the weight of a $68\ kg$ object in deep space where the local acceleration due to gravity is zero?,$0\ N$.
"State the formula for Newton’s second law relating net force, mass, and acceleration.",$\sum F = ma$.
"If the heart exerts a net force of $0.02\ N$ on blood with a mass of $2.0 \times 10^{-3}\ kg$, what is the average acceleration of the blood?",$10\ m/s^{2}$.
"In the equation for average acceleration $a_{avg} = \frac{v^{2} - v_{0}^{2}}{2(x - x_{0})}$, what does the term $(x - x_{0})$ represent?",Displacement.
"When calculating the force required to stop a train, what does a negative sign in the resulting force value indicate?",The force is in the opposite direction to the initial velocity.
"In a vertical system where 'up' is positive, what is the formula for the tension force ($F_{T}$) required to accelerate a mass ($m$) upwards at rate ($a$)?",$F_{T} = m(g + a)$.
A $20.0\ kg$ box is resting on a table; what is the magnitude of the normal force acting on the box?,$196\ N$.
"If an elevator starts to move downwards from rest, the scale reading for a person inside will be _____ than their actual weight.",lower
"In a free-body diagram of a skydiver, what two primary forces are acting in opposite vertical directions before the parachute opens?",Weight ($mg$) and air resistance ($F_{A}$).
"Newton’s Third Law states that if a sprinter exerts a force of $720\ N$ on the ground at $22^{\circ}$ below the horizontal, the ground exerts a force of _____ on the sprinter.",$720\ N$ at $22^{\circ}$ above the horizontal.
Concept: Static Equilibrium,"Definition: A state where the net force and net torque on an object are both zero, resulting in no motion."
"For a stationary object suspended by a wire, the vertical component of the tension must be equal to the object's _____.",weight ($mg$)
"In the context of an object hanging from a car's rearview mirror, if the car slows down, the object swings towards the _____.",windshield
The coefficient of kinetic friction ($\mu_{k}$) is used to calculate the friction force ($F_{fr}$) using the formula $F_{fr} = $ _____.,$\mu_{k} F_{N}$
"When two blocks are in contact and pushed together on a surface, they can be treated as a _____ object to find the system's acceleration.",single
"On an inclined plane at angle $\theta$, what is the component of the gravitational force acting parallel to and down the incline?",$mg \sin \theta$.
"On an inclined plane at angle $\theta$, what is the component of the gravitational force acting perpendicular to the surface?",$mg \cos \theta$.
A skier moving at a constant speed down a slope has a net force of _____ acting on them.,zero
"When a person in an elevator is accelerating upwards, the normal force ($F_{N}$) is calculated as $m(g + a)$; this $F_{N}$ is also known as the _____ weight.",apparent
How is the 'kilogram reading' of a scale in an accelerating elevator determined from the normal force ($F_{N}$)?,By dividing the normal force by the acceleration due to gravity ($g$).
